Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source,License URL
SH.MMR.LEVE,CC BY-4.0,Length of paid maternity leave (days),,The indicator represents the duration of paid leave available to mothers.,"World Bank: Women, Business and the Law. https://wbl.worldbank.org/",Gender: Public life & decision making,,Annual,,"Women, Business and the Law tracks progress toward legal equality between men and women in 190 economies. Data are collected with standardized questionnaires to ensure comparability across economies. Questionnaires are administered to over 2,000 respondents with expertise in family, labor, and criminal law, including lawyers, judges, academics, and members of civil society organizations working on gender issues. Respondents provide responses to the questionnaires and references to relevant laws and regulations. The Women, Business and the Law team collects the texts of these codified sources of national law - constitutions, codes, laws, statutes, rules, regulations, and procedures - and checks questionnaire responses for accuracy. Thirty-five data points are scored across eight indicators of four or five binary questions, with each indicator representing a different phase of a woman’s career. Indicator-level scores are obtained by calculating the unweighted average of the questions within that indicator and scaling the result to 100. Overall scores are then calculated by taking the average of each indicator, with 100 representing the highest possible score.","The knowledge and analysis provided by Women, Business and the Law make a strong economic case for laws that empower women. Better performance in the areas measured by the Women, Business and the Law index is associated with more women in the labor force and with higher income and improved development outcomes. Equality before the law and of economic opportunity are not only wise social policy but also good economic policy. The equal participation of women and men will give every economy a chance to achieve its potential. Given the economic significance of women's empowerment, the ultimate goal of Women, Business and the Law is to encourage governments to reform laws that hold women back from working and doing business.",,"For the reference period, WDI and Gender Databases take the data coverage years instead of reporting years used in WBL (https://wbl.worldbank.org/).  For example, the data for YR2020 in WBL (report year) corresponds to data for YR2019 in WDI and Gender Databases.","This indicator is additional to the 35 scored indicators, and associated to the following indicator "Paid leave of at least 14 weeks is available to women (1=yes; 0=no)" (SH.MMR.LEVE.AL).",https://datacatalog.worldbank.org/public-licenses#cc-by
SP.RUR.TOTL.FE.ZS,CC BY-4.0,"Rural population, female (% of total)",,Female rural population is the percentage of females who live in rural areas to total population.,The United Nations Population Division's World Urbanization Prospects.,Health: Population: Structure,,Annual,,Estimates of the United Nations urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex for all countries or territories in the world.,,"Because the urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex, the data for urban and rural population by sex is not comparable and consistent with the total population data presented in the World Development Indicators database which is based on the 2015 World Population Prospects",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.RUR.TOTL.MA.ZS,CC BY-4.0,"Rural population, male (% of total)",,Male rural population is the percentage males who live in rural areas to total population.,The United Nations Population Division's World Urbanization Prospects.,Health: Population: Structure,,Annual,,Estimates of the United Nations urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex for all countries or territories in the world.,,"Because the urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex, the data for urban and rural population by sex is not comparable and consistent with the total population data presented in the World Development Indicators database which is based on the 2015 World Population Prospects",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.URB.TOTL.MA.ZS,CC BY-4.0,"Urban population, male (% of total)",,Male urban population is the percentage of males who live in urban areas to total population.,The United Nations Population Division's World Urbanization Prospects.,Health: Population: Structure,,Annual,,Estimates of the United Nations urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex for all countries or territories in the world.,,"Because the urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex, the data for urban and rural population by sex is not comparable and consistent with the total population data presented in the World Development Indicators database which is based on the 2015 World Population Prospects",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.URB.TOTL.FE.ZS,CC BY-4.0,"Urban population, female (% of total)",,Female urban population is the percentage of females who live in urban areas to total population.,The United Nations Population Division's World Urbanization Prospects.,Health: Population: Structure,,Annual,,Estimates of the United Nations urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex for all countries or territories in the world.,,"Because the urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex, the data for urban and rural population by sex is not comparable and consistent with the total population data presented in the World Development Indicators database which is based on the 2015 World Population Prospects",,,https://datacatalog.worldbank.org/public-licenses#cc-by
fin18.t.d.2,,"Saved any money in the past year, female  (% age 15+)","The percentage of respondents who report personally saving or setting aside any money for any reason and using any mode of saving in the past 12 months., female (% age 15+).","The percentage of respondents who report personally saving or setting aside any money for any reason and using any mode of saving in the past 12 months., female (% age 15+).",Global Findex database,Economic Opportunities,Percent,Triennial,Weighted average,,,,,,
fin18.t.d.1,,"Saved any money in the past year, male  (% age 15+)","The percentage of respondents who report personally saving or setting aside any money for any reason and using any mode of saving in the past 12 months., male (% age 15+).","The percentage of respondents who report personally saving or setting aside any money for any reason and using any mode of saving in the past 12 months., male (% age 15+).",Global Findex database,Economic Opportunities,Percent,Triennial,Weighted average,,,,,,
SH.PRV.SMOK.MA,CC BY-4.0,"Smoking prevalence, males (% of adults)",,"Prevalence of smoking, male is the percentage of men ages 15 and over who currently smoke any tobacco product on a daily or non-daily basis. It excludes smokeless tobacco use. The rates are age-standardized.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",Health: Risk factors,,Annual,Weighted average,"The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information. To compensate for this and improve reliability and international comparability, the World Health Organization (WHO) prepares estimates in accordance with epidemiological models and statistical standards.

Smoking is the most common form of tobacco use and the prevalence of smoking is therefore a good measure of the tobacco epidemic. (Corrao MA, Guindon GE, Sharma N, Shokoohi  DF (eds). Tobacco Control Country Profiles, 2000, American Cancer Society, Atlanta.) Tobacco use causes heart and other vascular diseases and cancers of the lung and other organs. Given the long delay between starting to smoke and the onset of disease, the health impact of smoking will increase rapidly only in the next few decades. The data presented are age-standardized rates for adults ages 15 and older from the WHO.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.PRV.SMOK.FE,CC BY-4.0,"Smoking prevalence, females (% of adults)",,"Prevalence of smoking, female is the percentage of women ages 15 and over who currently smoke any tobacco product on a daily or non-daily basis. It excludes smokeless tobacco use. The rates are age-standardized.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",Health: Risk factors,,Annual,Weighted average,"The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information. To compensate for this and improve reliability and international comparability, the World Health Organization (WHO) prepares estimates in accordance with epidemiological models and statistical standards.

Smoking is the most common form of tobacco use and the prevalence of smoking is therefore a good measure of the tobacco epidemic. (Corrao MA, Guindon GE, Sharma N, Shokoohi  DF (eds). Tobacco Control Country Profiles, 2000, American Cancer Society, Atlanta.) Tobacco use causes heart and other vascular diseases and cancers of the lung and other organs. Given the long delay between starting to smoke and the onset of disease, the health impact of smoking will increase rapidly only in the next few decades. The data presented are age-standardized rates for adults ages 15 and older from the WHO.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.ALC.PCAP.MA.LI,CC BY-4.0,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",,"Total alcohol per capita consumption is defined as the total (sum of recorded and unrecorded alcohol) amount of alcohol consumed per person (15 years of age or older) over a calendar year, in litres of pure alcohol, adjusted for tourist consumption.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",Health: Risk factors,,Annual,Weighted average,The estimates for the total alcohol consumption are produced by summing up the 3-year average per capita (15+) recorded alcohol consumption and an estimate of per capita (15+) unrecorded alcohol consumption for a calendar year. Tourist consumption takes into account tourists visiting the country and inhabitants visiting other countries.,"Acoording to the World Health Organization, alcohol consumption is a causal factor in more than 200 disease and injury conditions. In the world, an estimated 3 million deaths are from harmful use of alcohols every year.   Drinking alcohol is associated with a risk of developing health problems such as mental and behavioural disorders, including alcohol dependence, major noncommunicable diseases such as liver cirrhosis, some cancers and cardiovascular diseases, as well as injuries resulting from violence and road clashes and collisions.",,This is a sex-disaggregated indicator for Sustainable Development Goal 3.5.2 [https://unstats.un.org/sdgs/metadata/].,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.ALC.PCAP.FE.LI,CC BY-4.0,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",,"Total alcohol per capita consumption is defined as the total (sum of recorded and unrecorded alcohol) amount of alcohol consumed per person (15 years of age or older) over a calendar year, in litres of pure alcohol, adjusted for tourist consumption.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",Health: Risk factors,,Annual,Weighted average,The estimates for the total alcohol consumption are produced by summing up the 3-year average per capita (15+) recorded alcohol consumption and an estimate of per capita (15+) unrecorded alcohol consumption for a calendar year. Tourist consumption takes into account tourists visiting the country and inhabitants visiting other countries.,"Acoording to the World Health Organization, alcohol consumption is a causal factor in more than 200 disease and injury conditions. In the world, an estimated 3 million deaths are from harmful use of alcohols every year.   Drinking alcohol is associated with a risk of developing health problems such as mental and behavioural disorders, including alcohol dependence, major noncommunicable diseases such as liver cirrhosis, some cancers and cardiovascular diseases, as well as injuries resulting from violence and road clashes and collisions.",,This is a sex-disaggregated indicator for Sustainable Development Goal 3.5.2 [https://unstats.un.org/sdgs/metadata/].,,https://datacatalog.worldbank.org/public-licenses#cc-by
